Source,Target,Weight
escena trap Argentina,escena trap argentina,4
#BZRP,#Bizarrap,1
BZRP Music Sessions,Paulo Londra Big Ligas,1
BZRP Music Sessions,freestyle argentino,1
BZRP Music Sessions,trap argentino polémicas 2024,1
Paulo Londra Big Ligas,freestyle Quinto Escalón,1
Paulo Londra Big Ligas,freestyle argentino,1
Paulo Londra Big Ligas,trap argentino polémicas 2024,1
Paulo Londra demanda,Paulo Londra juicio,1
Sixto Yegros,YSY A videoclip,1
YSY A videoclip,YSYSMO,1
cultura trap argentina,música urbana argentina,1
freestyle argentino,trap argentino polémicas 2024,1
